Serial Number,Material Description
T-5693,CMS Crossing 1 in 16 -60kg
T-6412,Weldable CMS Crossing 1 in 12 -60 Kg
T-4220,CMS Crossing 1 in 12 -60 Kg
T-4734,CMS Crossing 1 in 12 - 52 kg
T-4967,CMS Crossing 1 in 8½ -60 kg
T-2592/11514/026(M),Check Rail Block for   CMS Crossing/Weldable
T-5692,Curved Switch 1 in 16 -60kg
T-4219,Curved Switch 1 in 12 -60 Kg
T-6155,Thick web Switch 1 in 12 -60 Kg
T-4733,Curved Switch 1 in 12 - 52 kg
T-4966,Curved Switch 1 in 8½ -60 kg
T-4866,Curved Switch 1 in 8½ -52 kg
T-5354,Switch 1 in 8 ½ S.S -60 KG
T-5836,Switch for trap - 52 kg
T-6068,Switch for trap - 60 kg
T-6902,"Improved SEJ -60 Kg (with 80 mm max: 
gap) B.G.60 kg (UIC) on PSC sleepers"
T-6922,"Improved SEJ -60 Kg (with 65mm max. 
gap) BG 60Kg (UIC)"
T-6782,Comb. SEJ -60/52 Kg  on PSC sleepers
T-6930,"Improved SEJ for lonf welded rails -52 Kg (with 65 mm max: 
gap) B.G.25 kg on PSC sleepers"
T-671,Glued joints 52 Kg  (1set = 2 nos )
T-2572,Glued joints 60 Kg  (1set = 2 nos )
T-5919,Elastic Rail Clips Mark-V for 60 kg rail & wider base sleepers
T-3701,Elastic Rail Clips Mark-III for 52/60 kg rail and 60/52 kg sleeper
T-4158 / 8258,Elastic Rail Clips  J type for sleepers at rail joints
T-6618,GRSP 60 kg sleepers
T-8528,GRSP for wide guage sleeper
T-5691,GRSP 1 in 16
T-4218 /4732,GRSP 1 in 12
T-4865,GRSP 1 in 8 1/2
T-4159,GRSP for SEJ
"T-5836/ 
6068",GRSP for derailing switch
T-3703,GRSP for 52 kg
T-8747,GRSP for wider sleeper
T-8327,GRSP for 52 kg
T-3707 & 3708,GFN Liners for 52 kg rail and 60 kg sleeper
T-3702,GFN Liners for 52 kg rail and 52 kg sleeper
T-3706,GFN Liner 60 Kg rail and 60 kg sleeper
T-6938-39,GFN Liner 60 Kg  for wider sleeper
T-8751,GFN Liner 60 Kg  for sleeper
T-3741/ 3742,Metal Liner 52 Kg rail with 60Kg Sleeper
T-3740,Metal Liner 60 Kg rail with 60Kg Sleeper
T-8616- 17,Comb. Metal Liner  for wide guage sleeper
BNC/T2019 2020,Special Size Metal liner for 52 kg rail and wide base sleeper
T-8748,Metal Liner 60 Kg
T-01(M),Fish plate 90 R
T-090-M,Fish plates 52 Kg
T-1898,Fish plate 60 Kg
T-5916,Fish Plate 60 Kg 1 m long  with  bolt & Nut
T-5915,Fish Plate 52 Kg 1 m long with  bolt & Nut
T-5551,Joggled Fish Plate 52 Kg with C-Clamp
T-4016,Joggled Fish Plates 60 kg with C-Clamps
T-1-1966 &  6-1965,Joggled Fish Plates 52 kg assembly
T-5848,Joggled Fish Plates 52 kg with bolt & nut
T-5849,Joggled Fish Plates 60 kg bolt & Nut
"T-1900(M)&
 1901(M)",Combination fish plate 52 Kg/ 90R
T-696-699,Combination fish plate 60/52 Kg
T-5552 & 5552/1,C Clamp 52 kg
T-4117/A,"M S ""C"" Clamp 60 kg"
T-11551,M S Bolts and Nuts 22mmx120mm for LC
T-3549,Fish Bolt and Nut 25x140mm 52kg
T-1899,Fish Bolt and Nut 25x140mm 60 kg
T-11513,M S Bolts and Nuts 25mm  X 180 for combination F/P and check rail bolt
T-11537,M S Bolts and Nuts 25mm  X 420
T-10773,Single coil Spring washer
T-023(M),Spherical washer
T-4785,C I Distance Blocks for L C 'L' Type
T-4784,C.I Brackets for L.C
T-4917,C.I Brackets for 52kg check rail to be used on PSC sleeper
T-8985,C.I Brackets for 52kg check rail to be used on wider PSC sleeper
T-8227,CI Bracket for 52kg check rail to be used on wider PSC sleeper
T-4150,M S Packing piece  Class-I
T-3911,Plate Screws SEJ Angle
T-3912,Plate screws for Points & Crossings
T-3913,Plate Screws for L C
T-3915,Plate Screws for SEJ
T-4153,Rail screws for guard rail
M-3040,Spring Point Lever Box
BNC/T-2019 & 2020,Special Size Metal liner
